eweek,week_ending,n_Alpha,n_Other,n_Gamma,n_Delta,prop_Alpha,prop_Other,prop_Gamma,prop_Delta,prop_se_Alpha,prop_se_Other,prop_se_Gamma,prop_se_Delta,prop_Alpha_95CI_lo,prop_Alpha_95CI_hi
3,2021-01-22,45,1649,4,0,0.026501766784452298,0.9711425206124853,0.002355712603062426,0,0.0038979490198940586,0.004062579184399175,0.0011764681380535729,0,0.018861786705459942,0.03414174686344465
4,2021-01-29,84,861,0,0,0.08888888888888889,0.9111111111111111,0,0,0.0092574954228285,0.009257495422828502,0,0,0.07074419786014503,0.10703357991763275
5,2021-02-05,147,1271,0,0,0.10366713681241185,0.8963328631875882,0,0,0.008095004534808327,0.008095004534808324,0,0,0.08780092792418753,0.11953334570063617
6,2021-02-12,167,1228,1,0,0.11962750716332378,0.8796561604584527,7.163323782234957e-4,0,0.008685724492070774,0.008708145900989044,7.160757662223461e-4,0,0.10260348715886507,0.1366515271677825
7,2021-02-19,118,975,1,0,0.10786106032906764,0.8912248628884827,9.140767824497258e-4,0,0.00937864137661078,0.009413471358352497,9.136589187559125e-4,0,0.08947892323091051,0.12624319742722478
8,2021-02-26,557,1687,4,0,0.24777580071174377,0.7504448398576512,0.0017793594306049821,0,0.009105523950418993,0.009127345946884467,8.88887832888971e-4,0,0.22992897376892255,0.265622627654565
9,2021-03-05,514,1310,0,0,0.2817982456140351,0.7182017543859649,0,0,0.01053367600858199,0.01053367600858199,0,0,0.26115224063721443,0.3024442505908558
10,2021-03-12,690,777,4,0,0.469068660774983,0.5282121006118287,0.002719238613188307,0,0.013011610467985742,0.013015811055915115,0.0013577694835516852,0,0.44356590425773096,0.494571417292235
11,2021-03-19,768,641,4,0,0.5435244161358811,0.45364472753007784,0.0028308563340410475,0,0.013250956386320959,0.013244160104280934,0.0014134233102535843,0,0.517552541618692,0.5694962906530702
12,2021-03-26,691,459,11,0,0.595176571920758,0.3953488372093023,0.009474590869939707,0,0.014405874368760853,0.014349163007175966,0.002843131408897152,0,0.5669410581579868,0.6234120856835292
13,2021-04-02,803,471,24,1,0.6181678214010777,0.3625866050808314,0.018475750577367205,7.698229407236335e-4,0.01347984456069658,0.013338650563036479,0.003736345138579711,7.695265699943732e-4,0.5917473260621124,0.644588316740043
14,2021-04-09,1037,551,65,3,0.626207729468599,0.3327294685990338,0.0392512077294686,0.0018115942028985507,0.011888969256809458,0.011578876979412598,0.004772009169146124,0.0010449765759523008,0.6029053497252524,0.6495101092119456
15,2021-04-16,1192,367,75,2,0.7286063569682152,0.22432762836185818,0.04584352078239609,0.0012224938875305623,0.010993972941912615,0.01031309205206912,0.0051707927858926465,8.639051737789849e-4,0.7070581700020665,0.7501545439343639
16,2021-04-23,1131,249,59,26,0.7720136518771331,0.16996587030716723,0.040273037542662114,0.017747440273037544,0.010960947531114278,0.009813185850917013,0.0051364401152792045,0.0034495356206032408,0.7505301947161491,0.7934971090381171
17,2021-04-30,1130,287,86,26,0.7390451275343362,0.18770438194898625,0.05624591236102027,0.017004578155657292,0.011230896926912178,0.009985976005035401,0.005892114300027545,0.0033063965274895647,0.7170325695575883,0.761057685511084
18,2021-05-07,903,183,79,35,0.7525,0.1525,0.06583333333333333,0.029166666666666667,0.012458054623415328,0.01037801161109391,0.007158870113104183,0.0048576376479229615,0.7280822129381059,0.776917787061894
